site_code,site_name,start_url
rechallenge,재도전종합지원센터(중소벤처기업진흥공단 재도약성장처),https://www.rechallenge.or.kr/planweb/board/list.9is?contentUid=402880955861e980015861fbf1aa0040&boardUid=40288095586a64e001586c59efce00f7&contentUid=402880955861e980015861fbf1aa0040&subPath=
knrec,한국에너지공단 신∙재생에너지센터,https://www.knrec.or.kr/biz/pds/businoti/list.do
changwon,창원특례시(창원시),https://www.changwon.go.kr/cwportal/10310/10429/10430.web
osancci,오산상공회의소,https://osancci.korcham.net/front/board/boardContentsListPage.do?boardId=10795&menuId=5224
uiwangcci,의왕상공회의소,https://uiwangcci.korcham.net/front/board/boardContentsListPage.do?boardId=11096&menuId=3747
mokpocci,목포상공회의소,https://mokpocci.korcham.net/front/board/boardContentsListPage.do?boardId=10704&menuId=2465
gangneungcci,강릉상공회의소,https://gangneungcci.korcham.net/front/board/boardContentsListPage.do?boardId=10559&menuId=9986
gycci,고양상공회의소,http://www.gycci.or.kr/front/board/boardContentsListPage.do?boardId=10767&menuId=1980
gmcci,광명상공회의소,https://gmcci.korcham.net/front/board/boardContentsListPage.do?boardId=10599&menuId=2022
gwangyangcci,광양상공회의소,https://gwangyangcci.korcham.net/front/board/boardContentsListPage.do?boardId=10836&menuId=2059
cnfund,충남경제진흥원 중소기업 자금시스템,https://www.cnfund.kr/info/list.do?menuSeq=notice
exportcenter,중소기업수출지원센터(중소벤처기업부),https://www.smes.go.kr/exportcenter/information/notice/list.do
chuncheoncci,춘천상공회의소,http://chuncheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10518&menuId=757
yeosucci,여수상공회의소,https://yeosucci.korcham.net/front/board/boardContentsListPage.do?boardId=10748&menuId=3075
nia,한국지능정보사회진흥원,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99835
onlending,한국산업은행,https://onlending.kdb.co.kr/index.jsp
mafra,농림축산식품부,https://www.mafra.go.kr/home/5108/subview.do
forest,산림청,https://www.forest.go.kr/kfsweb/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_1032&mn=NKFS_04_01_02
gitc,(재)경북IT융합산업기술원,https://www.gitc.or.kr/main/page?x=53
gtc,경상북도문화관광공사,https://www.gtc.co.kr/page/10059/10007.tc
gwtp,강원테크노파크,https://www.gwtp.or.kr/gwtp/bbsNew_list.php?code=sub01b&keyvalue=sub01
ofsi,전라남도 해양수산과학원,https://ofsi.jeonnam.go.kr/ofsi/177/subview.do
dctf,동해문화관광재단,https://dctf.or.kr/bbs/board.php?bo_table=3_sub1
gwse,강원지속가능경제지원센터,https://gwse.or.kr/bbs/board.php?bo_table=sub41&sca=%EC%82%AC%EC%97%85%EA%B3%B5%EA%B3%A0
epis,농림수산식품교육문화정보원,https://www.epis.or.kr/board/list?boardManagementNo=4&level=2&menuNo=3&enYn=N
epis,농림수산식품교육문화정보원,https://www.epis.or.kr/board/list?boardManagementNo=7&level=2&menuNo=7&enYn=N
keci,한국환경보전원,https://www.keci.or.kr/common/bbs/selectPageListBbs.do?bbs_code=A1004
ggeea,경기환경에너지진흥원,https://www.ggeea.or.kr/notice
ijnto,전남관광재단,https://ijnto.or.kr/plaza/notice/lists/
ekta,한국관광협회중앙회,http://www.ekta.kr/?act=board&bbs_code=sub4_2
jares,전라남도농업기술원,https://www.jares.go.kr/main/board/19
cnnongup,충청남도농업기술원,https://cnnongup.chungnam.go.kr/board/B0013.cs?m=315
